dtto,municipio,secc,PAN_UDC,PRI_PVEM PNA_PPC,PRI_PNA PSD,PRI_PNA PPC,PRI,PRD,PT,PVEM,CONV,PNA,PSDC,PPC,CC1,VALIDOS,NULOS,TOTAL
03,SALTILLO,0973,219,0,0,0,753,15,21,16,3,2,5,1,4,1039,24,1063
03,SALTILLO,0974,188,0,0,0,702,14,12,5,6,7,1,3,15,953,33,986
03,SALTILLO,0975,195,0,0,0,636,13,17,13,2,3,1,2,1,883,25,908
03,SALTILLO,0982,179,0,0,0,481,18,14,15,3,8,0,0,5,723,25,748
03,SALTILLO,0983,219,0,0,0,511,26,11,10,8,4,3,1,6,799,25,824
03,SALTILLO,0984,196,0,0,0,577,35,30,17,6,1,1,0,3,866,23,889
03,SALTILLO,0985,194,0,0,0,849,22,18,12,7,14,0,0,2,1118,38,1156
03,SALTILLO,0986,165,0,0,0,787,18,8,9,1,0,3,4,2,997,35,1032
03,SALTILLO,0987,510,0,0,0,2077,37,26,34,15,5,5,2,4,2715,105,2820
03,SALTILLO,0988,439,0,0,0,368,16,21,17,0,7,1,2,1,872,49,921
03,SALTILLO,0989,127,0,0,0,575,12,6,16,4,3,0,0,0,743,29,772
03,SALTILLO,0990,341,0,0,0,608,24,23,26,6,11,1,1,4,1045,41,1086
03,SALTILLO,0991,183,0,0,0,511,15,11,14,2,6,7,1,2,752,29,781
04,SALTILLO,0730,589,0,0,0,475,23,20,15,3,4,0,3,2,1134,52,1186
04,SALTILLO,0732,503,0,0,0,500,26,15,24,6,7,0,2,1,1084,62,1146
04,SALTILLO,0735,233,0,0,0,420,3,11,15,2,3,0,0,4,691,22,713
04,SALTILLO,0736,318,0,0,0,611,10,12,18,6,3,1,0,2,981,31,1012
04,SALTILLO,0737,272,0,0,0,998,17,15,14,8,4,0,0,1,1329,36,1365
04,SALTILLO,0738,285,0,0,0,1221,21,25,15,2,3,13,3,1,1589,48,1637
04,SALTILLO,0739,182,0,0,0,488,10,18,15,5,4,0,3,4,729,22,751
04,SALTILLO,0741,324,0,0,0,228,10,3,8,3,4,1,0,0,581,16,597
04,SALTILLO,0742,397,0,0,0,558,17,12,15,9,8,3,0,2,1021,36,1057
04,SALTILLO,0743,411,0,0,0,322,21,17,7,3,8,2,0,1,792,33,825
04,SALTILLO,0744,464,0,0,0,821,25,18,15,7,5,2,0,203,1560,45,1605
04,SALTILLO,0745,562,0,0,0,1028,33,33,37,19,2,7,3,0,1724,369,2093
04,SALTILLO,0746,382,0,0,0,1327,23,17,33,7,5,3,0,3,1800,61,1861
04,SALTILLO,0747,154,0,0,0,540,19,8,8,2,2,0,0,0,733,20,753
04,SALTILLO,0748,176,0,0,0,623,15,11,14,4,2,1,1,2,849,25,874
04,SALTILLO,0749,273,0,0,0,261,9,14,6,3,4,0,1,1,572,24,596
04,SALTILLO,0750,486,0,0,0,372,10,18,13,2,5,0,0,0,906,44,950
04,SALTILLO,0762,420,0,0,0,192,15,16,4,0,2,1,0,0,650,34,684
04,SALTILLO,0763,428,0,0,0,482,17,15,22,3,7,1,1,2,978,35,1013
04,SALTILLO,0764,547,0,0,0,455,14,29,19,5,8,2,1,2,1082,32,1114
04,SALTILLO,0765,181,0,0,0,484,5,5,14,1,4,2,2,3,701,22,723
04,SALTILLO,0766,1397,0,0,0,4035,88,59,70,32,28,15,9,309,6042,133,6175
04,SALTILLO,0767,251,0,0,0,320,18,9,6,2,6,0,2,0,614,20,634
04,SALTILLO,0768,439,0,0,0,1240,20,23,42,4,11,4,3,8,1794,50,1844
04,SALTILLO,0769,127,0,0,0,590,11,14,18,2,6,2,0,0,770,31,801
04,SALTILLO,0770,145,0,0,0,386,8,9,7,3,1,0,0,5,564,10,574
04,SALTILLO,0771,245,0,0,0,793,10,20,14,5,7,21,0,0,1115,45,1160
04,SALTILLO,0772,349,0,0,0,257,6,5,10,4,2,2,2,1,638,25,663
04,SALTILLO,0773,360,0,0,0,148,5,1,6,3,5,1,0,0,529,15,544
04,SALTILLO,0781,343,0,0,0,273,10,11,10,3,2,0,2,0,654,37,691
04,SALTILLO,0782,260,0,0,0,243,10,7,16,4,1,1,1,3,546,28,574
04,SALTILLO,0783,260,0,0,0,418,10,19,11,7,7,1,0,0,733,29,762
04,SALTILLO,0784,301,0,0,0,191,7,18,6,3,1,1,0,1,529,20,549
04,SALTILLO,0785,256,0,0,0,171,4,8,7,5,2,1,0,0,454,18,472
04,SALTILLO,0786,364,0,0,0,222,13,9,8,7,5,1,0,0,629,28,657
04,SALTILLO,0787,141,0,0,0,632,12,12,15,5,1,1,3,208,1030,45,1075
04,SALTILLO,0788,187,0,0,0,731,3,13,8,7,2,4,0,4,959,38,997
04,SALTILLO,0789,166,0,0,0,472,5,6,10,2,5,2,1,1,670,26,696
