sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,512|831|64.53|1,498|14|53.836

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|1|CUERNAVACA NORTE|212|2|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |506| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|213|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |585| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|213|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |585| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|213|2|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |584| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|214|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |663| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|214|1|C|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |663| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|214|2|C|0|1|11|350|333|333|49|51|42|4|27|9|12|40|37|14|13|-|-|-|-|-|-|3|32|333|663| |1| |e6b36e055f61d7aa4f2b3b08a82e15f3f9422bfc11d37b0acb1b3cfdae64394d|2015-06-08 09:58:00.000|2015-06-08 10:01:09.241|2015-06-08 10:01:11.082|
17|MORELOS|1|CUERNAVACA NORTE|215|1|B|0|1|11| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |718| | | | | | | |
17|MORELOS|1|CUERNAVACA NORTE|215|1|C|0|1|11|384|348|354|54|50|61|5|29|13|9|49|20|23|14|-|-|-|-|-|-|Sin dato|27|354|717| |1| |b7e12456e12c92240eb80e115819af0a7d3ac5b4070eb27d4331714d23c72d96|2015-06-08 09:34:00.000|2015-06-08 10:03:49.418|2015-06-08 10:03:53.985|
17|MORELOS|1|CUERNAVACA NORTE|215|1|S|0|1|12|644|41|Ilegible|6|8|4|1|4|2|1|5|2|3|3|-|-|-|-|-|-|0|2|41|0| |1| |5a37e86b6e11a7ef21657f0a7e83117d9f84cecda7d1897c7b4cb385c8816752|2015-06-08 06:22:00.000|2015-06-08 06:24:12.541|2015-06-08 06:24:14.335|
