sep=|
20:11 horas (UTC-5)
lunes 8 de junio de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
1,761|563|75.77|1,748|13|53.071

ID_ESTADO|ESTADO|ID_MUNICIPIO|MUNICIPIO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PRD|PT|PVEM|MOVIMIENTO_CIUDADANO|NUEVA_ALIANZA|PSD|MORENA|ES|PH|C_PRI_PV|C_PRI_PANAL|C_PV_PANAL|C_PRI_PV_PANAL|C_PRD_PT|CAND_IND_1|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
17|MORELOS|3|AXOCHIAPAN|26|2|C|0|1|14|248|400|401|85|55|21|47|85|2|6|20|12|2|51|-|-|-|-|-|-|0|15|401|628| |1| |cb879eb20cd44c8f6371876bd8643f34fcbe05b46f6b22231f6fb0794aae64d0|2015-06-08 05:37:00.000|2015-06-08 06:00:03.676|2015-06-08 06:00:05.591|
17|MORELOS|3|AXOCHIAPAN|26|3|C|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |627| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|27|1|B|0|2|14|193|411|416|73|68|30|55|82|2|14|22|12|Sin dato|45|-|-|-|-|-|-|73|68|544|588| |1| |f1238b694e1ee10715f00218b255f8e86127971f0111556d317a5b92a1a4cba0|2015-06-08 03:12:00.000|2015-06-08 03:15:44.203|2015-06-08 03:27:29.273|
17|MORELOS|3|AXOCHIAPAN|27|1|C|0|2|14|212|392|397|80|54|37|42|87|1|12|22|10|0|43|-|-|-|-|-|-|0|8|396|588| |1| |d4d4b2e92768f3b6ba1ac80bd2655e56f0a76523701c113e0e3d66ad003644dc|2015-06-07 23:40:00.000|2015-06-08 00:03:26.401|2015-06-08 00:03:29.804|
17|MORELOS|3|AXOCHIAPAN|28|1|B|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |551| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|28|1|C|0|1|14|349|2|351|85|63|31|23|56|4|8|19|14|3|34|-|-|-|-|-|-|Sin dato|11|351|551| |1| |e37dff1b3d6d218dcb7cd1056a471b3b49d852b20691361751b0987244115214|2015-06-08 04:29:00.000|2015-06-08 04:53:21.245|2015-06-08 05:05:05.893|
17|MORELOS|3|AXOCHIAPAN|29|1|B|0|2|14|288|415|416|113|55|26|52|86|5|15|17|9|Sin dato|19|-|-|-|-|-|-|Sin dato|19|416|683| |1| |11cf23d742c68c2a2798529c0a314e20e945044cc884243b6981da12d79220fe|2015-06-08 04:58:00.000|2015-06-08 05:40:52.589|2015-06-08 05:40:57.613|
17|MORELOS|3|AXOCHIAPAN|29|1|C|0|2|14|274|426|0|114|57|31|44|103|3|16|Ilegible|Ilegible|0|26|-|-|-|-|-|-|0|19|413|683| |1| |f601f67f8d64668dc63ed2ab7014dd670cc9f105f60c2605e9155df1d1342813|2015-06-08 04:42:00.000|2015-06-08 05:32:19.170|2015-06-08 05:32:23.323|
17|MORELOS|3|AXOCHIAPAN|29|2|C|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |683| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|30|1|B|0|1|14|276|451|458|115|49|11|95|93|2|23|13|6|0|35|-|-|-|-|-|-|Sin dato|16|458|713| |1| |db2412180a6ec581d7684a2d37c48d04995881b9026e3be1794fa368fd68bcc4|2015-06-08 05:53:00.000|2015-06-08 06:32:04.525|2015-06-08 06:32:11.213|
17|MORELOS|3|AXOCHIAPAN|30|1|C|0|1|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |713| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|31|1|B|0|2|14|284|397|Sin dato|103|57|11|64|87|2|20|11|9|Sin dato|27|-|-|-|-|-|-|Sin dato|6|397|660| |1| |e30d215f164aa655b046dd785dbea497f3d4044168d2675a96e955727f88692c|2015-06-08 05:33:00.000|2015-06-08 05:56:25.945|2015-06-08 05:56:29.276|
17|MORELOS|3|AXOCHIAPAN|31|1|C|0|2|14|244|436|442|150|52|15|56|73|Ilegible|9|19|17|Sin dato|32|-|-|-|-|-|-|Sin dato|Sin dato|423|659| |1| |175e1b6579596075729cac54ac114a30948dc2896df8ca79a441e25efdd00500|2015-06-08 05:51:00.000|2015-06-08 06:30:03.343|2015-06-08 06:30:08.617|
17|MORELOS|3|AXOCHIAPAN|31|2|C|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |659| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|32|1|B|0|2|14|211|357|360|51|88|27|51|62|2|12|13|21|0|23|-|-|-|-|-|-|Sin dato|10|360|550| |1| |72a623d1a2741d11145d3eda23685668c4bc9c2bef6aa3d710b934df9060730e|2015-06-08 05:53:00.000|2015-06-08 06:30:54.388|2015-06-08 06:30:57.171|
17|MORELOS|3|AXOCHIAPAN|32|1|C|0|2|14|236|331|0|45|84|23|36|70|0|6|19|16|1|15|-|-|-|-|-|-|0|19|334|550| |1| |52c20404497e725ecc9cde041cf494cfc88dd2c9074cfcede40b1bef5902ef0a|2015-06-08 05:43:00.000|2015-06-08 06:02:58.108|2015-06-08 06:03:01.067|
17|MORELOS|3|AXOCHIAPAN|33|1|B|0|2|14|166|371|371|23|78|14|60|Ilegible|28|10|42|21|1|19|-|-|-|-|-|-|0|14|310|516| |1| |4e7ea54edddb97df25ed4ef3fd6a2143a6b3b94a6e32a130f15b50e35a40f8d3|2015-06-08 04:28:00.000|2015-06-08 04:52:15.358|2015-06-08 05:04:00.080|
17|MORELOS|3|AXOCHIAPAN|33|1|C|0|2|14|187|350|350|14|72|10|65|60|28|6|64|8|0|9|-|-|-|-|-|-|0|14|350|516| |1| |bb717dd62d1bec8b651b34c6aeea82e717fc37a6a48723d3c75598e11ae274d4|2015-06-08 04:09:00.000|2015-06-08 04:45:59.969|2015-06-08 04:46:01.800|
17|MORELOS|3|AXOCHIAPAN|33|2|C|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |516| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|34|1|B|0|2|14| | | | | | | | | | | | | | |-|-|-|-|-|-| | | |215| | | | | | | |
17|MORELOS|3|AXOCHIAPAN|35|1|B|0|2|14|225|0|366|6|80|13|51|152|8|9|5|17|1|9|-|-|-|-|-|-|0|15|366|570| |1| | |2015-06-07 12:00:00.000|2015-06-08 14:58:45.412|2015-06-08 14:58:48.752|
